Month of Stop,Reason for Stop,Officer Race,Officer Gender,Officer Years of Service,Driver Race,Driver Gender,Driver Age,Search Conducted,Results,CMPD Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,5,Black,M,23,Yes,Verbal Warning,Central Division
2020/01,Speeding,White,M,2,Black,M,23,Yes,Citation,Metro Division
2020/01,Vehicle Regulatory,White,M,14,Black,F,50,Yes,Written Warning,North Tryon Division
2020/02,Vehicle Regulatory,White,F,3,Black,M,20,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,3,Black,M,28,No,Verbal Warning,Metro Division
2020/02,Driving While Impaired,Black/African American,M,10,Two or more,M,26,Yes,Arrest,North Tryon Division
2020/01,Vehicle Equipment,White,M,5,White,M,27,Yes,None,Metro Division
2020/01,Vehicle Regulatory,White,F,2,Black,M,24,No,Verbal Warning,Metro Division
2020/02,Speeding,White,M,4,White,M,28,Yes,Citation,Metro Division
2020/01,Investigation,Black/African American,M,2,Black,M,40,No,Verbal Warning,Metro Division
2020/01,Safe Movement,Black/African American,M,4,Black,M,29,Yes,Verbal Warning,Central Division
2020/01,Vehicle Equipment,Black/African American,M,4,Black,M,21,Yes,Verbal Warning,Central Division
2020/01,Vehicle Equipment,White,M,1,White,F,25,Yes,Verbal Warning,Central Division
2020/01,Vehicle Equipment,Black/African American,M,4,Black,M,30,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,22,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,Black/African American,M,12,Black,M,25,No,Verbal Warning,Independence Division
2020/02,Investigation,White,M,2,White,M,45,Yes,Arrest,Freedom Division
2020/01,Vehicle Regulatory,White,M,5,Black,M,56,Yes,Verbal Warning,North Tryon Division
2020/02,Vehicle Regulatory,White,M,14,Asian,M,21,Yes,Verbal Warning,North Tryon Division
2020/02,Stop Light/Sign,White,M,2,Black,F,30,Yes,Verbal Warning,Independence Division
2020/02,Stop Light/Sign,White,F,2,Black,M,44,No,Arrest,Metro Division
2020/02,Speeding,White,M,5,Black,M,45,No,Arrest,Metro Division
2020/01,Vehicle Regulatory,White,M,5,Black,M,42,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,Black/African American,M,1,Black,M,30,Yes,Verbal Warning,University City Division
2020/02,Investigation,White,M,6,Black,M,19,Yes,Citation,Independence Division
2020/02,Vehicle Regulatory,White,M,5,Black,M,32,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Equipment,Not Specified,M,7,White,F,19,Yes,Verbal Warning,South Division
2020/02,Investigation,White,M,2,Black,M,20,No,Verbal Warning,Hickory Grove Division
2020/02,Vehicle Equipment,Hispanic/Latino,M,2,White,M,27,Yes,Verbal Warning,Providence Division
2020/02,Safe Movement,White,M,6,White,F,35,Yes,Verbal Warning,Central Division
2020/02,Vehicle Regulatory,White,M,3,Black,F,32,No,Citation,University City Division
2020/02,Safe Movement,White,M,2,White,M,23,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Equipment,White,M,5,Two or more,M,34,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,White,M,3,Black,M,35,Yes,Verbal Warning,Hickory Grove Division
2020/02,Stop Light/Sign,White,M,5,Black,M,28,Yes,Citation,Eastway Division
2020/02,Vehicle Equipment,Black/African American,M,6,Black,F,34,Yes,Citation,University City Division
2020/02,Vehicle Equipment,Hispanic/Latino,M,2,Black,F,18,Yes,Verbal Warning,University City Division
2020/02,Vehicle Regulatory,White,M,2,Black,M,26,Yes,Verbal Warning,Independence Division
2020/02,Safe Movement,White,M,12,Hispanic/Latino,M,30,Yes,Citation,North Division
2020/02,Vehicle Equipment,White,M,3,Black,F,54,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Regulatory,White,M,6,Black,M,32,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Regulatory,White,M,6,Black,M,32,No,Verbal Warning,Independence Division
2020/02,Vehicle Regulatory,White,M,4,Black,F,53,Yes,Verbal Warning,University City Division
2020/02,Vehicle Regulatory,White,M,13,Black,F,25,Yes,Verbal Warning,Hickory Grove Division
2020/02,Speeding,Black/African American,M,12,Hispanic/Latino,M,22,Yes,Verbal Warning,Westover Division
2020/02,Vehicle Regulatory,White,M,3,Black,M,28,No,Citation,Independence Division
2020/02,Vehicle Regulatory,White,M,18,Black,M,28,No,Citation,Independence Division
2020/02,Vehicle Regulatory,Hispanic/Latino,M,1,Two or more,M,21,Yes,Verbal Warning,University City Division
2020/02,Vehicle Regulatory,White,M,13,White,F,51,No,Verbal Warning,Hickory Grove Division
2020/02,Speeding,White,F,4,White,M,50,Yes,Verbal Warning,Westover Division
2020/02,Safe Movement,White,F,4,White,F,27,Yes,Verbal Warning,Westover Division
2020/02,Investigation,Asian/Pacific Islander,M,23,Hispanic/Latino,M,30,Yes,Citation,Eastway Division
2020/02,Vehicle Regulatory,White,M,15,Black,F,28,Yes,Verbal Warning,Eastway Division
2020/02,Speeding,Black/African American,M,18,Black,M,25,Yes,Citation,Steele Creek Division
2020/02,Vehicle Regulatory,White,M,15,Black,M,65,Yes,Verbal Warning,Eastway Division
2020/02,Speeding,2 or More,M,21,White,F,40,Yes,Verbal Warning,Providence Division
2020/02,Vehicle Regulatory,White,M,15,White,F,40,Yes,Verbal Warning,Eastway Division
2020/02,Stop Light/Sign,Black/African American,M,17,Hispanic/Latino,M,65,Yes,Verbal Warning,North Tryon Division
2020/02,Vehicle Regulatory,White,M,15,Black,M,33,Yes,Verbal Warning,Eastway Division
2020/02,Investigation,Asian/Pacific Islander,M,23,Hispanic/Latino,M,22,Yes,Citation,Eastway Division
2020/02,Investigation,White,M,15,Black,M,29,No,Arrest,Eastway Division
2020/02,Investigation,Asian/Pacific Islander,M,23,Hispanic/Latino,M,30,Yes,Citation,Providence Division
2020/02,Speeding,White,M,15,Black,M,34,Yes,Verbal Warning,Freedom Division
2020/02,Vehicle Regulatory,White,M,1,Black,M,53,Yes,Verbal Warning,North Tryon Division
2020/02,Stop Light/Sign,White,M,12,White,F,55,Yes,Verbal Warning,Westover Division
2020/02,Vehicle Regulatory,White,M,17,White,M,38,Yes,Verbal Warning,Central Division
2020/02,Stop Light/Sign,White,M,12,White,M,20,Yes,Verbal Warning,Westover Division
2020/02,Vehicle Regulatory,Asian/Pacific Islander,M,23,Hispanic/Latino,M,34,Yes,Citation,Eastway Division
2020/02,Stop Light/Sign,White,M,12,White,F,25,Yes,Verbal Warning,Westover Division
2020/02,Speeding,Not Specified,M,26,Black,F,40,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,White,M,1,Black,M,30,Yes,Citation,North Tryon Division
2020/02,Vehicle Regulatory,Black/African American,M,24,Black,M,26,Yes,Citation,Westover Division
2020/02,Vehicle Regulatory,White,M,21,White,M,34,Yes,Verbal Warning,Independence Division
2020/02,Speeding,Not Specified,M,26,White,F,65,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,Asian/Pacific Islander,M,12,Two or more,M,35,Yes,Verbal Warning,Providence Division
2020/02,Vehicle Regulatory,White,F,5,Black,F,37,Yes,Citation,Freedom Division
2020/02,Vehicle Regulatory,White,M,21,Black,F,42,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Equipment,White,M,10,Black,M,50,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,White,F,5,Hispanic/Latino,M,30,Yes,Verbal Warning,North Tryon Division
2020/02,Vehicle Regulatory,Black/African American,M,1,White,M,37,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,Asian/Pacific Islander,M,23,Black,M,52,Yes,Citation,Eastway Division
2020/02,Vehicle Regulatory,White,F,1,White,M,30,Yes,Verbal Warning,South Division
2020/02,Vehicle Regulatory,White,M,20,Hispanic/Latino,M,33,Yes,Citation,Independence Division
2020/02,Vehicle Regulatory,White,M,20,Hispanic/Latino,M,33,Yes,Citation,Independence Division
2020/02,Vehicle Regulatory,White,M,20,Hispanic/Latino,M,33,Yes,Citation,Independence Division
2020/02,Vehicle Regulatory,White,M,20,Hispanic/Latino,M,33,Yes,Citation,Independence Division
2020/02,Vehicle Regulatory,White,M,20,Hispanic/Latino,M,33,Yes,Citation,Independence Division
2020/02,Vehicle Regulatory,White,M,20,Hispanic/Latino,M,33,Yes,Citation,Independence Division
2020/02,Vehicle Regulatory,Asian/Pacific Islander,M,23,White,F,73,Yes,Citation,Eastway Division
2020/02,Vehicle Regulatory,Asian/Pacific Islander,M,23,Other/Unknown,M,28,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,2 or More,M,1,Black,M,25,Yes,Verbal Warning,Hickory Grove Division
2020/02,Vehicle Regulatory,White,F,5,Hispanic/Latino,M,18,Yes,Citation,North Tryon Division
2020/02,Investigation,White,M,15,Hispanic/Latino,M,25,No,Arrest,Eastway Division
2020/02,Investigation,Asian/Pacific Islander,M,23,Two or more,M,26,Yes,Arrest,Eastway Division
2020/02,Investigation,White,M,15,Hispanic/Latino,M,25,No,Arrest,Eastway Division
2020/02,Vehicle Regulatory,White,M,9,Black,F,28,Yes,Citation,Hickory Grove Division
2020/02,Safe Movement,White,M,25,Asian,M,30,Yes,Verbal Warning,North Tryon Division
2020/02,Speeding,White,M,21,Other/Unknown,M,49,Yes,Verbal Warning,Independence Division
2020/02,Safe Movement,White,M,13,Hispanic/Latino,F,35,Yes,Verbal Warning,North Tryon Division
2020/02,Vehicle Equipment,White,M,14,Hispanic/Latino,M,45,Yes,Verbal Warning,Metro Division
2020/02,Other,White,M,19,Black,M,30,Yes,Citation,Westover Division
2020/02,Vehicle Regulatory,White,M,12,Black,M,23,Yes,Verbal Warning,Freedom Division
2020/02,Vehicle Regulatory,White,M,21,White,F,38,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Regulatory,White,M,13,White,M,58,Yes,Verbal Warning,North Tryon Division
2020/02,Speeding,White,M,13,Black,M,35,Yes,Verbal Warning,Westover Division
2020/02,Vehicle Regulatory,White,M,21,White,F,28,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Regulatory,White,M,14,White,F,31,Yes,Citation,Central Division
2020/02,Speeding,Black/African American,M,27,Black,M,26,Yes,Verbal Warning,Independence Division
2020/02,Stop Light/Sign,Asian/Pacific Islander,M,10,White,M,80,Yes,Verbal Warning,Central Division
2020/02,Vehicle Regulatory,Black/African American,M,1,Black,F,28,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,White,M,21,White,M,30,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Regulatory,Black/African American,M,1,Black,F,21,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,White,M,3,Black,F,30,Yes,Verbal Warning,Freedom Division
2020/02,Vehicle Regulatory,White,M,3,Black,F,30,Yes,Verbal Warning,Freedom Division
2020/02,Vehicle Regulatory,White,F,1,White,M,42,Yes,Verbal Warning,University City Division
2020/02,Stop Light/Sign,White,M,12,Black,M,40,Yes,Verbal Warning,Eastway Division
2020/02,Stop Light/Sign,White,M,3,Black,F,62,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Regulatory,Hispanic/Latino,M,19,Black,M,36,Yes,Verbal Warning,Freedom Division
2020/02,Vehicle Regulatory,White,M,3,Black,F,60,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Regulatory,White,M,1,Black,F,27,Yes,Arrest,University City Division
2020/02,Speeding,2 or More,M,21,Black,M,28,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,White,M,3,Black,M,30,No,Verbal Warning,Metro Division
2020/02,Vehicle Regulatory,White,M,3,Black,M,30,No,Verbal Warning,Metro Division
2020/02,Vehicle Regulatory,White,M,3,Black,M,25,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Regulatory,Hispanic/Latino,M,19,Black,M,42,Yes,Verbal Warning,
2020/02,Investigation,Black/African American,M,5,Black,F,43,Yes,None,Metro Division
2020/02,Vehicle Regulatory,White,M,6,Black,F,38,Yes,Verbal Warning,North Division
2020/02,Speeding,2 or More,M,21,White,M,55,Yes,Verbal Warning,Central Division
2020/02,Vehicle Regulatory,White,M,7,White,M,21,No,Verbal Warning,Freedom Division
2020/02,Vehicle Regulatory,2 or More,M,21,Black,M,22,Yes,Verbal Warning,Hickory Grove Division
2020/02,Vehicle Regulatory,White,M,7,Black,M,35,No,Verbal Warning,Westover Division
2020/02,Vehicle Regulatory,Black/African American,M,11,White,M,60,Yes,Verbal Warning,Westover Division
2020/02,Vehicle Regulatory,White,M,26,White,M,67,Yes,Citation,Central Division
2020/02,Vehicle Regulatory,White,M,6,Black,M,40,No,Citation,Central Division
2020/02,Vehicle Regulatory,Black/African American,M,11,Hispanic/Latino,M,26,Yes,Verbal Warning,Westover Division
2020/02,Stop Light/Sign,White,M,5,Two or more,F,39,Yes,Written Warning,South Division
2020/02,Speeding,White,M,27,White,F,36,Yes,Verbal Warning,South Division
2020/02,Safe Movement,White,M,7,Other/Unknown,M,42,Yes,Verbal Warning,North Tryon Division
2020/02,Vehicle Regulatory,White,F,4,Black,F,51,Yes,Verbal Warning,North Division
2020/02,Vehicle Regulatory,White,M,3,Black,F,34,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Regulatory,Hispanic/Latino,M,3,Black,F,23,Yes,Verbal Warning,Freedom Division
2020/02,Vehicle Regulatory,White,F,4,Black,M,37,Yes,Citation,North Division
2020/02,Vehicle Regulatory,White,M,3,Black,F,30,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Regulatory,White,M,3,Black,F,35,Yes,Verbal Warning,Metro Division
2020/02,Speeding,White,M,6,Black,M,25,Yes,Verbal Warning,University City Division
2020/02,Vehicle Regulatory,White,M,4,Black,M,61,No,Verbal Warning,Freedom Division
2020/02,Vehicle Regulatory,White,M,7,Black,F,45,Yes,Verbal Warning,Westover Division
2020/02,Vehicle Regulatory,White,M,7,Black,F,24,No,Citation,North Tryon Division
2020/02,Investigation,White,M,3,Black,M,24,No,Citation,Eastway Division
2020/02,Safe Movement,White,M,1,Black,M,50,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,13,Hispanic/Latino,M,30,Yes,Citation,Westover Division
2020/02,Vehicle Regulatory,White,M,3,Black,M,25,Yes,Verbal Warning,Freedom Division
2020/02,Safe Movement,Black/African American,M,4,Black,M,40,Yes,Verbal Warning,North Tryon Division
2020/02,Vehicle Regulatory,Black/African American,M,11,Black,F,27,Yes,Citation,Westover Division
2020/02,Vehicle Regulatory,Hispanic/Latino,M,19,Black,F,45,Yes,Citation,Freedom Division
2020/02,Investigation,White,M,3,White,M,39,No,Citation,Hickory Grove Division
2020/02,Vehicle Regulatory,White,M,10,Black,F,35,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Regulatory,White,M,13,White,F,67,Yes,Written Warning,Westover Division
2020/02,Vehicle Regulatory,White,M,2,Black,F,31,Yes,Citation,University City Division
2020/02,Vehicle Regulatory,White,M,5,Black,M,27,Yes,Verbal Warning,North Division
2020/02,Vehicle Regulatory,Hispanic/Latino,M,6,Black,M,61,Yes,Citation,Metro Division
2020/02,Vehicle Regulatory,White,M,7,Black,M,30,Yes,Verbal Warning,North Tryon Division
2020/02,Vehicle Regulatory,White,M,2,Black,F,27,Yes,Verbal Warning,University City Division
2020/02,Vehicle Regulatory,White,M,5,Black,M,23,Yes,Verbal Warning,North Division
2020/02,Vehicle Regulatory,Asian/Pacific Islander,M,5,Hispanic/Latino,M,48,Yes,Verbal Warning,University City Division
2020/02,Vehicle Regulatory,White,M,1,Black,M,26,Yes,Verbal Warning,University City Division
2020/02,Vehicle Regulatory,White,M,7,Black,M,38,Yes,Verbal Warning,Westover Division
2020/02,Vehicle Regulatory,White,M,2,Hispanic/Latino,M,30,Yes,Verbal Warning,University City Division
2020/02,Vehicle Regulatory,White,F,1,Black,M,38,Yes,Verbal Warning,University City Division
2020/02,Stop Light/Sign,White,M,5,Black,M,40,Yes,Verbal Warning,North Division
2020/02,Vehicle Regulatory,White,M,7,Black,F,49,Yes,Verbal Warning,North Division
2020/02,Vehicle Equipment,Hispanic/Latino,M,4,Black,F,28,Yes,Verbal Warning,Steele Creek Division
2020/02,Vehicle Equipment,Hispanic/Latino,M,4,Black,F,28,Yes,Verbal Warning,North Division
2020/02,Vehicle Regulatory,White,M,2,Black,M,50,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Regulatory,White,F,1,White,M,45,Yes,Verbal Warning,Providence Division
2020/02,Vehicle Regulatory,White,M,21,Black,M,76,Yes,Verbal Warning,Steele Creek Division
2020/02,Vehicle Regulatory,White,M,5,Black,F,50,Yes,Verbal Warning,Freedom Division
2020/02,Vehicle Equipment,White,M,4,Black,M,48,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Regulatory,White,M,6,Black,M,29,Yes,Verbal Warning,Central Division
2020/02,Vehicle Regulatory,White,M,5,Black,M,40,Yes,Verbal Warning,Freedom Division
2020/02,Speeding,Hispanic/Latino,M,4,Black,M,50,Yes,Verbal Warning,North Division
2020/02,Vehicle Regulatory,White,M,5,Black,M,27,Yes,Verbal Warning,North Tryon Division
2020/02,Vehicle Regulatory,White,M,3,Black,F,30,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Regulatory,White,M,14,White,M,26,Yes,Verbal Warning,Providence Division
2020/02,Vehicle Equipment,White,M,5,Black,M,18,Yes,Verbal Warning,North Tryon Division
2020/02,Vehicle Regulatory,White,M,6,Black,F,30,Yes,Verbal Warning,North Tryon Division
2020/02,Stop Light/Sign,White,M,3,Black,F,30,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Regulatory,Black/African American,M,5,Black,M,34,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Regulatory,White,M,3,Black,F,40,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Equipment,White,M,5,White,M,25,Yes,None,North Tryon Division
2020/02,Vehicle Equipment,White,M,6,Black,M,30,Yes,Verbal Warning,North Division
2020/02,Vehicle Regulatory,White,M,2,Black,M,30,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Equipment,American Indian/Alaska Native,M,2,Black,M,20,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Equipment,White,M,7,Black,M,34,No,Verbal Warning,Freedom Division
2020/02,Safe Movement,Hispanic/Latino,M,4,Black,M,25,Yes,None,North Division
2020/02,Vehicle Equipment,White,M,7,Black,M,24,No,Verbal Warning,Westover Division
2020/02,Speeding,White,M,6,Other/Unknown,M,32,Yes,Verbal Warning,Providence Division
2020/02,Vehicle Equipment,White,M,7,White,F,27,Yes,Verbal Warning,Westover Division
2020/02,Vehicle Regulatory,Asian/Pacific Islander,M,1,Black,M,24,Yes,Verbal Warning,University City Division
2020/02,Vehicle Regulatory,White,M,6,White,M,25,Yes,Verbal Warning,University City Division
2020/02,Vehicle Regulatory,White,F,1,Black,F,30,Yes,Verbal Warning,Westover Division
2020/02,Speeding,White,M,6,White,M,31,Yes,Citation,Providence Division
2020/02,Vehicle Regulatory,White,M,2,Black,F,28,Yes,Verbal Warning,North Division
2020/02,Vehicle Equipment,White,M,7,Black,M,54,Yes,Verbal Warning,Westover Division
2020/02,Vehicle Regulatory,White,M,6,Black,M,40,No,Arrest,North Tryon Division
2020/02,Vehicle Regulatory,White,F,2,Black,M,32,Yes,Citation,Metro Division
2020/02,Vehicle Equipment,Black/African American,M,5,Black,M,30,Yes,Verbal Warning,Providence Division
2020/02,Vehicle Equipment,Black/African American,M,5,Black,F,25,Yes,Verbal Warning,Providence Division
2020/02,Vehicle Regulatory,White,M,3,Black,M,35,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Regulatory,White,M,7,Black,M,32,Yes,Verbal Warning,Westover Division
2020/02,Vehicle Regulatory,White,M,5,Black,F,28,Yes,Citation,Eastway Division
2020/02,Vehicle Regulatory,Asian/Pacific Islander,M,1,Black,F,39,Yes,Citation,University City Division
2020/02,Vehicle Regulatory,White,M,3,White,M,59,Yes,Citation,Independence Division
2020/02,Vehicle Regulatory,White,M,3,Black,M,28,Yes,Written Warning,North Division
2020/02,Vehicle Regulatory,White,M,2,Black,M,29,Yes,Verbal Warning,North Division
2020/02,Safe Movement,White,M,7,Black,M,20,Yes,Verbal Warning,Freedom Division
2020/02,Safe Movement,White,M,3,Black,M,30,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Regulatory,Not Specified,M,9,White,M,21,No,Verbal Warning,Freedom Division
2020/02,Vehicle Equipment,White,M,5,Black,M,46,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,White,F,1,Black,F,30,Yes,Verbal Warning,Westover Division
2020/02,Vehicle Regulatory,White,F,2,Black,F,40,Yes,Verbal Warning,Freedom Division
2020/02,Vehicle Regulatory,White,M,7,Black,M,35,No,Verbal Warning,Westover Division
2020/02,Vehicle Equipment,White,M,3,Black,F,33,Yes,Citation,Independence Division
2020/02,Safe Movement,White,M,22,Black,M,37,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,Asian/Pacific Islander,M,1,Black,M,40,Yes,Verbal Warning,University City Division
2020/02,Vehicle Equipment,American Indian/Alaska Native,M,2,Black,M,60,Yes,Verbal Warning,Metro Division
2020/02,Vehicle Regulatory,White,M,5,Black,F,25,Yes,Verbal Warning,North Tryon Division
2020/02,Vehicle Equipment,Black/African American,M,4,Black,F,27,Yes,Verbal Warning,South Division
2020/02,Vehicle Regulatory,White,M,6,Black,M,30,Yes,Verbal Warning,University City Division
2020/02,Vehicle Regulatory,White,M,5,White,M,29,Yes,Verbal Warning,Central Division
2020/02,Safe Movement,White,F,2,Black,M,56,Yes,Citation,Freedom Division
2020/02,Vehicle Regulatory,Asian/Pacific Islander,M,1,Black,M,24,Yes,Verbal Warning,University City Division
2020/02,Stop Light/Sign,White,M,5,Black,M,35,Yes,Verbal Warning,Central Division
2020/02,Speeding,White,M,6,Black,M,26,Yes,Verbal Warning,Providence Division
2020/02,Vehicle Equipment,Hispanic/Latino,F,3,Hispanic/Latino,M,27,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Regulatory,White,F,2,Hispanic/Latino,M,59,Yes,Citation,Westover Division
2020/02,Vehicle Regulatory,Black/African American,F,2,Black,F,41,Yes,None,Hickory Grove Division
2020/02,Vehicle Regulatory,2 or More,M,2,Black,F,35,Yes,Citation,Westover Division
2020/02,Vehicle Equipment,2 or More,M,2,Black,M,33,Yes,Verbal Warning,Central Division
2020/02,Vehicle Regulatory,Black/African American,F,2,Black,M,28,Yes,None,Hickory Grove Division
2020/02,Speeding,Hispanic/Latino,M,4,White,F,45,Yes,Verbal Warning,Metro Division
2020/02,Stop Light/Sign,Hispanic/Latino,M,1,Black,M,35,Yes,Citation,University City Division
2020/02,Vehicle Regulatory,Black/African American,F,2,Black,F,43,Yes,Verbal Warning,Central Division
2020/02,Vehicle Regulatory,White,F,1,Black,F,30,Yes,Arrest,Westover Division
2020/02,Investigation,White,M,8,White,F,25,No,Verbal Warning,Metro Division
2020/02,Safe Movement,White,F,2,Black,F,35,Yes,Verbal Warning,University City Division
2020/02,Vehicle Equipment,Black/African American,M,1,Black,F,36,Yes,Verbal Warning,Eastway Division
2020/02,Speeding,White,M,26,Black,M,45,Yes,Citation,Central Division
2020/02,Vehicle Regulatory,White,M,6,Black,F,35,Yes,Verbal Warning,University City Division
2020/02,Vehicle Regulatory,2 or More,M,2,Black,M,33,Yes,Citation,Central Division
2020/02,Vehicle Regulatory,White,M,3,Black,F,38,Yes,Verbal Warning,North Division
2020/02,Vehicle Regulatory,White,M,3,Black,M,40,Yes,Verbal Warning,North Division
2020/02,Vehicle Regulatory,Black/African American,F,2,Black,F,43,Yes,Verbal Warning,Central Division
2020/02,Vehicle Equipment,White,M,13,Two or more,M,49,Yes,Written Warning,Hickory Grove Division
2020/02,Vehicle Regulatory,White,M,5,Hispanic/Latino,M,20,Yes,Citation,Steele Creek Division
2020/02,Safe Movement,Asian/Pacific Islander,M,5,Hispanic/Latino,M,35,Yes,Verbal Warning,North Tryon Division
2020/02,Vehicle Equipment,Black/African American,M,4,White,F,20,Yes,Verbal Warning,Central Division
2020/02,Vehicle Regulatory,White,M,6,Black,M,30,No,Arrest,North Tryon Division
2020/02,Vehicle Regulatory,White,M,2,Black,F,20,Yes,Verbal Warning,North Division
2020/02,Safe Movement,White,F,2,White,M,19,Yes,Verbal Warning,Westover Division
2020/02,Safe Movement,Black/African American,M,2,Black,M,45,Yes,None,Metro Division
2020/02,Speeding,White,M,2,Hispanic/Latino,F,19,Yes,Verbal Warning,
2020/02,Vehicle Regulatory,White,M,5,Black,F,45,Yes,Verbal Warning,North Division
2020/02,Vehicle Regulatory,White,M,3,Black,F,32,Yes,Verbal Warning,North Division
2020/02,Vehicle Equipment,White,M,2,Black,F,25,Yes,Citation,Freedom Division
2020/02,Speeding,White,M,13,Black,M,50,Yes,Citation,Eastway Division
2020/02,Vehicle Equipment,White,M,5,Black,M,25,Yes,Verbal Warning,North Division
2020/02,Vehicle Regulatory,White,M,5,Black,F,23,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Equipment,White,M,5,Black,M,32,No,Arrest,North Division
2020/02,Vehicle Regulatory,White,M,3,Hispanic/Latino,M,30,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Equipment,Black/African American,M,5,White,M,45,Yes,Verbal Warning,Freedom Division
2020/02,Safe Movement,Black/African American,F,2,Black,M,24,Yes,Verbal Warning,Central Division
2020/02,Vehicle Equipment,Black/African American,M,5,White,M,30,Yes,Citation,Freedom Division
2020/02,Vehicle Equipment,White,F,2,Black,M,26,No,Verbal Warning,Metro Division
2020/02,Speeding,Hispanic/Latino,M,4,Black,M,16,Yes,Verbal Warning,North Division
2020/02,Vehicle Regulatory,Hispanic/Latino,M,4,Black,M,25,Yes,None,North Division
2020/02,Vehicle Regulatory,White,M,7,Black,F,19,Yes,Verbal Warning,Independence Division
2020/02,Safe Movement,Black/African American,F,2,Two or more,M,53,Yes,None,
2020/02,Investigation,White,F,1,Black,M,20,Yes,Verbal Warning,North Division
2020/02,Vehicle Regulatory,White,M,5,Black,F,26,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,White,M,5,Two or more,M,32,Yes,Verbal Warning,Eastway Division
2020/02,Stop Light/Sign,2 or More,M,2,Two or more,M,40,Yes,Verbal Warning,Central Division
2020/02,Speeding,White,M,3,Black,F,28,Yes,Citation,North Division
2020/02,Vehicle Regulatory,White,M,6,Black,M,26,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Equipment,Black/African American,F,1,White,M,33,Yes,Citation,South Division
2020/02,Investigation,Black/African American,M,4,Black,M,36,Yes,Verbal Warning,Central Division
2020/02,Vehicle Equipment,White,M,13,Black,M,28,Yes,Written Warning,Hickory Grove Division
2020/02,Speeding,2 or More,M,21,Black,F,30,Yes,Verbal Warning,Steele Creek Division
2020/02,Vehicle Regulatory,Asian/Pacific Islander,M,12,Black,F,50,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Regulatory,Asian/Pacific Islander,M,12,Black,M,40,Yes,Citation,Hickory Grove Division
2020/02,Investigation,Asian/Pacific Islander,M,23,Hispanic/Latino,M,32,Yes,Citation,Eastway Division
2020/02,Investigation,Asian/Pacific Islander,M,23,Hispanic/Latino,M,34,Yes,Citation,Eastway Division
2020/02,Speeding,Not Specified,M,26,White,F,25,Yes,Verbal Warning,Eastway Division
2020/02,Vehicle Regulatory,White,M,21,Black,M,23,Yes,Verbal Warning,Independence Division
2020/02,Vehicle Regulatory,Black/African American,M,1,White,F,35,Yes,Verbal Warning,North Tryon Division
2020/02,Vehicle Regulatory,Asian/Pacific Islander,M,23,Hispanic/Latino,F,59,Yes,Citation,Eastway Division
